Block,#Transaction,#Contract,#Ret
0,3,3,0
342,1,1,0
1045,1,1,0
1414,1,1,0
1554,1,1,0
1592,1,1,0
1678,1,1,0
1686,1,1,0
1785,1,1,0
1825,1,1,0
1886,1,1,0
1916,1,1,0
1950,1,1,0
1981,3,3,0
1990,1,1,0
1997,1,1,0
1999,1,1,0
2008,1,1,0
2011,1,1,0
2012,1,1,0
2014,2,2,0
2015,7,7,0
2016,9,9,0
2017,8,8,0
2018,9,9,0
2019,7,7,0
2020,8,8,0
2021,14,14,0
2022,8,8,0
2023,6,6,0
2024,9,9,0
2025,11,11,0
2026,8,8,0
2027,8,8,0
2028,9,9,0
2029,7,7,0
2030,9,9,0
2031,9,9,0
2032,8,8,0
2033,8,8,0
2034,8,8,0
2035,9,9,0
2036,9,9,0
2037,7,7,0
2038,8,8,0
2039,7,7,0
2040,12,12,0
2041,11,11,0
2042,6,6,0
2043,9,9,0
2044,8,8,0
2045,9,9,0
2046,7,7,0
2047,8,8,0
2048,9,9,0
2049,7,7,0
2050,8,8,0
2051,8,8,0
2052,10,10,0
2053,8,8,0
2054,8,8,0
2055,7,7,0
2056,9,9,0
2057,10,10,0
2058,10,10,0
2059,10,10,0
2060,11,11,0
2061,8,8,0
2062,10,10,0
2063,10,10,0
2064,9,9,0
2065,10,10,0
2066,11,11,0
2067,10,10,0
2068,10,10,0
2069,8,8,0
2070,10,10,0
2071,9,9,0
2072,13,13,0
2073,10,10,0
2074,10,10,0
2075,11,11,0
2076,9,9,0
2077,9,9,0
2078,10,10,0
2079,11,11,0
2080,9,9,0
2081,10,10,0
2082,10,10,0
2083,9,9,0
2084,10,10,0
2085,9,9,0
2086,9,9,0
2087,9,9,0
2088,9,9,0
2089,8,8,0
2090,9,9,0
2091,7,7,0
2092,8,8,0
2093,9,9,0
2094,8,8,0
2095,10,10,0
2096,6,6,0
2097,8,8,0
2098,10,10,0
2099,8,8,0
2100,7,7,0
2101,9,9,0
2102,10,10,0
2103,8,8,0
2104,6,6,0
2105,8,8,0
2106,9,9,0
2107,7,7,0
2108,9,9,0
2109,8,8,0
2110,8,8,0
2111,10,10,0
2112,8,8,0
2113,7,7,0
2114,9,9,0
2115,10,10,0
2116,8,8,0
2117,8,8,0
2118,7,7,0
2119,8,8,0
2120,8,8,0
2121,9,9,0
2122,7,7,0
2123,6,6,0
2124,8,8,0
2125,9,9,0
2126,8,8,0
2127,11,11,0
2128,7,7,0
2129,11,11,0
2130,8,8,0
2131,2,2,0
2140,1,1,0
2142,1,1,0
2152,1,1,0
2153,1,1,0
2160,1,1,0
2178,1,1,0
2197,1,1,0
2218,1,1,0
2222,1,1,0
2244,1,1,0
2256,1,1,0
2309,1,1,0
2315,1,1,0
2360,1,1,0
2363,1,1,0
2373,1,1,0
2375,1,1,0
2383,1,1,0
2388,1,1,0
2409,1,1,0
2418,1,1,0
2419,1,1,0
2433,1,1,0
2458,1,1,0
2463,1,1,0
2477,1,1,0
2491,1,1,0
2520,1,1,0
2551,1,1,0
2559,1,1,0
2563,1,1,0
2568,1,1,0
2572,1,1,0
2592,1,1,0
2598,2,2,0
2618,1,1,0
2627,1,1,0
2639,1,1,0
2687,1,1,0
2694,2,2,0
2698,1,1,0
2703,1,1,0
2715,1,1,0
2735,1,1,0
2747,1,1,0
2748,1,1,0
2758,1,1,0
2763,1,1,0
2775,1,1,0
2781,1,1,0
2786,1,1,0
2787,1,1,0
2789,1,1,0
2792,1,1,0
2794,1,1,0
2795,1,1,0
2797,1,1,0
2801,1,1,0
2802,2,2,0
2810,1,1,0
2814,1,1,0
2819,2,2,0
2839,1,1,0
2860,1,1,0
2880,1,1,0
2963,1,1,0
2969,1,1,0
2987,1,1,0
2988,1,1,0
2999,1,1,0
3028,1,1,0
3032,1,1,0
3034,1,1,0
3038,1,1,0
3067,1,1,0
3083,1,1,0
3127,1,1,0
3128,1,1,0
3133,1,1,0
3188,1,1,0
3189,1,1,0
3211,1,1,0
3215,1,1,0
3229,1,1,0
3233,1,1,0
3235,1,1,0
3241,1,1,0
3250,1,1,0
3283,2,2,0
3299,1,1,0
3305,1,1,0
3324,1,1,0
3326,1,1,0
3331,1,1,0
3372,1,1,0
3393,1,1,0
3415,1,1,0
3424,1,1,0
3454,1,1,0
3479,1,1,0
3482,1,1,0
3485,1,1,0
3493,1,1,0
3507,1,1,0
3518,1,1,0
3534,1,1,0
3545,1,1,0
3549,1,1,0
3596,1,1,0
